,2021,2022,2023,2024
cost_of_goods_sold,302876016.0,424179815.0,366288412.0,333799425.0
current_assets,249285912.0,245555374.0,257480639.0,272865732.0
current_liabilities,231207034.0,197851392.0,202111092.0,217587133.0
equity,356193917.0,357944721.0,359277445.0,361502051.0
financial_profit,5767641.0,971018.0,3590968.0,2656151.0
gross_profit,52291663.0,57025731.0,59610173.0,62636983.0
net_income,30044551.0,27529758.0,29354722.0,30571868.0
other_profit,5577070.0,4466149.0,1987944.0,3737347.0
profit_before_tax,37515442.0,35171590.0,37183304.0,39672134.0
revenue,355167679.0,481205546.0,425898585.0,396436407.0
total_assets,688933951.0,645424113.0,626421536.0,617542184.0
total_debt,332740034.0,287479392.0,267144092.0,256040133.0
roa,0.04361020524012468,0.0426537488226753,0.04686097190630432,0.049505716033805394
roe,0.08434886045513236,0.076910641182497,0.08170488409034417,0.08456900290172904
debt_ratio,0.4829781338501635,0.44541160797938767,0.4264605806911466,0.4146115676528423
current_ratio,1.0781934601522547,1.2411101661594577,1.2739560033647237,1.254052701728461
gross_margin,0.1472309168087336,0.11850597208204246,0.13996330370527058,0.15800007742477598
net_profit_margin,0.08459258197309108,0.05720997654503342,0.06892420645163684,0.07711670134272001
revenue_growth,0.0,0.3548686281219864,-0.11493417201804235,-0.06917651064748198
