,2020,2021,2022,2023
cost_of_goods_sold,154284599.0,158737852.0,176154528.0,137293321.0
current_assets,319311941.0,353614865.0,327642107.0,305227736.0
current_liabilities,312023268.0,343718198.0,316297518.0,293632898.0
equity,28984018.0,30030030.0,30722703.0,30315826.0
financial_profit,165658.0,230141.0,135069.0,19760.0
gross_profit,6548519.0,7823395.0,7621686.0,5411256.0
net_income,1412145.0,1601457.0,2223299.0,359378.0
other_profit,202670.0,149927.0,151058.0,15000.0
profit_before_tax,1642029.0,1862501.0,2795874.0,449222.0
revenue,160833119.0,166561247.0,183776214.0,142704578.0
total_assets,341007286.0,373748227.0,347020222.0,323948724.0
total_debt,312023268.0,343718198.0,316297518.0,293632898.0
roa,0.00414109920220297,0.004284855109158819,0.006406828360567413,0.0011093669256125856
roe,0.04872150576224456,0.053328518153328515,0.07236664690603557,0.011854468355900974
debt_ratio,0.91500469582342,0.9196517151638555,0.9114671075278143,0.9064178255568619
current_ratio,1.0233593893388746,1.0287929677787966,1.0358668290277258,1.039487530446946
gross_margin,0.04071623457106493,0.04697007942069502,0.04147264672674125,0.03791928805535587
net_profit_margin,0.008780187866654503,0.009614823548961543,0.012097860498965335,0.0025183354664347207
revenue_growth,0.0,0.035615351089473,0.10335517600921906,-0.22348722452188508
