,2021,2022,2023,2024
cost_of_goods_sold,1846290729.0,1501900686.0,1583764901.0,1916592139.0
current_assets,1347257860.0,1213251106.0,1199329150.0,1562030097.0
current_liabilities,931866658.0,848171928.0,890168942.0,1187764114.0
equity,650580931.0,584320489.0,559357926.0,630248223.0
financial_profit,-29987655.0,-42267959.0,-44583066.0,-27497836.0
gross_profit,270313621.0,175142726.0,234292793.0,332019976.0
net_income,105437281.0,41720735.0,50330741.0,144237329.0
other_profit,3210314.0,628338.0,1746168.0,514395.0
profit_before_tax,130989190.0,52649745.0,66069332.0,180411267.0
revenue,2117015449.0,1691251291.0,1818057694.0,2248612115.0
total_assets,1595344255.0,1441945341.0,1484594593.0,1893672309.0
total_debt,944763324.0,857624852.0,925236667.0,1263424086.0
roa,0.06609061377790212,0.028933645273312755,0.03390201017659236,0.07616805099514184
roe,0.1620663563531345,0.07140043141632844,0.08997949016279784,0.22885797013980633
debt_ratio,0.5922002859501945,0.5947693214260331,0.6232251359142597,0.6671820039799716
current_ratio,1.4457624901952442,1.4304306308048431,1.3473050939132856,1.3151012718675217
gross_margin,0.12768618251117922,0.1035580737954334,0.1288698338744799,0.14765551327646387
net_profit_margin,0.049804681892994536,0.024668560622550323,0.027683797475791215,0.06414504664358263
revenue_growth,0.0,-0.2011152815163041,0.0749778602829756,0.23682109892382774
