,2018,2019,2020,2021
cost_of_goods_sold,1743761.0,4161802.0,9541662.0,6900498.0
current_assets,76929843.0,18270674.0,212534985.0,411209372.0
current_liabilities,350841927.0,403031459.0,407812546.0,248236572.0
equity,-262652180.0,-375789355.0,-381276780.0,1193130611.0
financial_profit,-7009903.0,-65976798.0,-5834074.0,789920554.0
gross_profit,22012809.0,17044565.0,9083669.0,-2389636.0
net_income,-4094878.0,-113252390.0,-5487425.0,709102940.0
other_profit,1434675.0,1219281.0,-1726113.0,-22472575.0
profit_before_tax,-4094878.0,-113252390.0,-5487425.0,763648778.0
revenue,23756569.0,21294327.0,18625331.0,4536180.0
total_assets,88241747.0,27294103.0,926587766.0,1441439182.0
total_debt,350893927.0,403083459.0,1307864546.0,248308572.0
roa,-0.04640522359558453,-4.1493354810011525,-0.005922185896851136,0.4919409357362675
roe,0.015590496907354815,0.3013720013436783,0.0143922349533061,0.5943213035207258
debt_ratio,3.976507026770447,14.768151897133238,1.4114847983002616,0.17226434184720255
current_ratio,0.21927209116030194,0.04533312125394162,0.5211585251229618,1.65652211794159
gross_margin,0.9265988283072358,0.8004275035318092,0.48770510440861425,-0.5267947920937882
net_profit_margin,-0.1723682405485405,-5.318430115213315,-0.29462160967770185,156.32160540366564
revenue_growth,0.0,-0.1036446803408354,-0.12533835889718425,-0.7564510397157506
