,2021,2022,2023,2024
cost_of_goods_sold,63183617.0,56047464.0,7695645.0,9241174.0
current_assets,19011388.0,16955330.0,9870765.0,8221532.0
current_liabilities,69398901.0,71385311.0,60784177.0,61883301.0
equity,-25649573.0,-34152737.0,-33827118.0,-38333682.0
financial_profit,-21758.0,62876.0,44126.0,77882.0
gross_profit,-12282851.0,-1848590.0,1397720.0,-1150329.0
net_income,-22948348.0,-8503164.0,325619.0,-4506564.0
other_profit,-4335294.0,-285626.0,3084233.0,34475.0
profit_before_tax,-22948348.0,-8503164.0,325619.0,-4506564.0
revenue,52345797.0,54198874.0,10226315.0,8090845.0
total_assets,43749328.0,37232574.0,26957058.0,23549618.0
total_debt,69398901.0,71385311.0,60784177.0,61883301.0
roa,-0.5245417255323328,-0.22837969784200254,0.01207917421849224,-0.19136463275115545
roe,0.8946873306623857,0.24897459901969204,-0.009625975230878374,0.11756146983219613
debt_ratio,1.586284959622694,1.917281115186933,2.254852031701679,2.6277836438790643
current_ratio,0.27394364645630337,0.23751847211256108,0.16239037011227445,0.1328554208832525
gross_margin,-0.23464827558170526,-0.034107535149161955,0.13667875476161256,-0.14217662061255654
net_profit_margin,-0.43839905618401415,-0.15688820398741124,0.03184128398157107,-0.5569954683348897
revenue_growth,0.0,0.035400683649921216,-0.8113186816390319,-0.2088210660438291
