,2010,2011
cost_of_goods_sold,164058191.0,147573804.0
current_assets,162802286.0,0.0
current_liabilities,150907551.0,0.0
equity,25706104.0,0.0
financial_profit,-2953700.0,-4174942.0
gross_profit,10348995.0,18954498.0
net_income,2290946.0,7909490.0
other_profit,33928.0,-86992.0
profit_before_tax,2902514.0,9928671.0
revenue,175337912.0,166528302.0
total_assets,176613655.0,0.0
total_debt,150907551.0,0.0
roa,0.012971511177887123,0.0
roe,0.08912070067093793,0.0
debt_ratio,0.8544500763545152,0.0
current_ratio,1.0788213374425513,0.0
gross_margin,0.05902314497733953,0.1138214812278576
net_profit_margin,0.013065890735598586,0.04749637091717899
revenue_growth,0.0,-0.05024361188925297
