,2021,2022,2023,2024
cost_of_goods_sold,264124913.0,274884733.0,285851981.0,313566205.0
current_assets,101199108.0,110114752.0,117637049.0,96516547.0
current_liabilities,125200519.0,135579674.0,139641940.0,140096143.0
equity,386249464.0,394251173.0,405504911.0,427218340.0
financial_profit,-11113309.0,-14372393.0,-10480305.0,-8518587.0
gross_profit,124920385.0,135370061.0,142649305.0,142517940.0
net_income,40849434.0,42723728.0,47568907.0,62147000.0
other_profit,3362964.0,7404099.0,208337.0,1706529.0
profit_before_tax,51061792.0,53499771.0,60609367.0,69500181.0
revenue,389045298.0,410254794.0,428501285.0,456084144.0
total_assets,709265995.0,701198110.0,692283409.0,692614384.0
total_debt,323016532.0,306946937.0,286778498.0,265396044.0
roa,0.05759395528330665,0.06092961089127864,0.06871305361587829,0.08972813940289176
roe,0.10575919918946476,0.1083667745992984,0.117307844392543,0.14546894218071257
debt_ratio,0.4554236834658907,0.4377463838286729,0.41425013841404945,0.3831800928927864
current_ratio,0.8082962339796691,0.8121774359776083,0.8424191829474726,0.6889307937621095
gross_margin,0.3210947045040498,0.3299658236291079,0.3329028639902445,0.3124816810119143
net_profit_margin,0.10499917158746898,0.10413949727056694,0.1110122855290854,0.136262136751678
revenue_growth,0.0,0.05451677763240825,0.044475997031249825,0.06437053975229046
