,2021,2022,2023,2024
cost_of_goods_sold,3399755807.0,4336756407.0,4138281682.0,4099303268.0
current_assets,602313064.0,773158211.0,694950548.0,776224433.0
current_liabilities,748383919.0,947595087.0,954897380.0,987089189.0
equity,355942281.0,353349992.0,403260944.0,368589550.0
financial_profit,-65679878.0,-29856278.0,-8849517.0,-18522612.0
gross_profit,192289758.0,203261134.0,205931403.0,139846316.0
net_income,41159598.0,68567309.0,71355231.0,22420523.0
other_profit,3575452.0,339151.0,3907957.0,5915302.0
profit_before_tax,51488100.0,86549401.0,90173889.0,28208154.0
revenue,3592045565.0,4540017541.0,4344213085.0,4239149584.0
total_assets,1701554239.0,1570890441.0,1611870551.0,1566272934.0
total_debt,1345611958.0,1217540449.0,1208609607.0,1197683383.0
roa,0.02418941286537502,0.04364868943778874,0.04426858655351164,0.014314569647029348
roe,0.11563559654774477,0.19404927282409562,0.17694555364627623,0.06082788565221125
debt_ratio,0.790813438183912,0.7750638855660336,0.7498180336195001,0.7646709312286437
current_ratio,0.804818287390272,0.8159162300511168,0.7277751123372022,0.7863772004091922
gross_margin,0.05353210434567525,0.044771001910100326,0.0474036146410622,0.03298923834342336
net_profit_margin,0.011458540058914871,0.015102873145485056,0.01642535244101637,0.005288919995798855
revenue_growth,0.0,0.2639086723277688,-0.0431285681677942,-0.0241847024868026
