,2021,2022,2023,2024
cost_of_goods_sold,61090166.0,78878238.0,48930131.0,42580094.0
current_assets,48956341.0,39913621.0,35867493.0,34387264.0
current_liabilities,12445115.0,8647757.0,6800674.0,5908407.0
equity,37757059.0,33215365.0,30642406.0,29663378.0
financial_profit,-548558.0,445793.0,623874.0,941297.0
gross_profit,11882266.0,17379697.0,9179959.0,9968782.0
net_income,-4801760.0,-4541694.0,-2572960.0,-979028.0
other_profit,269210.0,-354390.0,-385553.0,-539114.0
profit_before_tax,-4801760.0,-4485994.0,-2572960.0,-979028.0
revenue,73936958.0,99398670.0,60550281.0,53582280.0
total_assets,50999533.0,42096301.0,37448080.0,35576785.0
total_debt,13242474.0,8880935.0,6805674.0,5913407.0
roa,-0.0941530190090172,-0.10788819663751455,-0.06870739434438294,-0.027518731667293714
roe,-0.12717515948474695,-0.13673473104992223,-0.08396729682388518,-0.03300460251020636
debt_ratio,0.2596587306005331,0.21096711086325615,0.18173625990972034,0.16621532833840943
current_ratio,3.933779719994552,4.615488270542292,5.274108566297987,5.820056742875026
gross_margin,0.16070807240947077,0.17484838579832104,0.15160885875987926,0.18604624513925125
net_profit_margin,-0.06494397565017485,-0.04569169788690332,-0.042492948959229435,-0.01827148826067125
revenue_growth,0.0,0.34437056498862173,-0.3908340926493282,-0.11507793002645195
