,2021,2022,2023,2024
cost_of_goods_sold,537521759.0,580303336.0,480184326.0,577888690.0
current_assets,245815924.0,328302059.0,279090257.0,250232108.0
current_liabilities,266896985.0,330859577.0,343929196.0,316143034.0
equity,153766560.0,169977817.0,125337153.0,130029165.0
financial_profit,-18217516.0,-15755303.0,-17856826.0,-12247875.0
gross_profit,87079434.0,95667716.0,30531489.0,60039054.0
net_income,24291008.0,28684024.0,-33667896.0,4692012.0
other_profit,-7950414.0,-1951021.0,-14098436.0,-10992410.0
profit_before_tax,29567710.0,36207853.0,-33380537.0,4692012.0
revenue,624601194.0,675971053.0,510715815.0,637937788.0
total_assets,547472241.0,601393422.0,540734321.0,479484870.0
total_debt,393705681.0,431415605.0,415397168.0,349455704.0
roa,0.04436938748826902,0.04769593904869814,-0.06226328659467502,0.009785526704940659
roe,0.15797328105668748,0.16875157303614507,-0.2686186433483135,0.03608430462504316
debt_ratio,0.7191335953049718,0.7173600329136955,0.7682093624680428,0.7288148716767643
current_ratio,0.9210142407565975,0.9922700801857097,0.8114759091286917,0.7915154885240964
gross_margin,0.1394160543343438,0.14152635024150953,0.059781757492667426,0.09411427748813651
net_profit_margin,0.038890428377887476,0.04243380522390505,-0.06592295560692593,0.007354967973773643
revenue_growth,0.0,0.08224425360288379,-0.2444708797315911,0.24910521519683115
