,2021,2022,2023,2024
cost_of_goods_sold,1193629705.0,1422243460.0,1292569844.0,1537432172.0
current_assets,1628691612.0,1790636695.0,2421160543.0,2425328071.0
current_liabilities,1355323702.0,1566775970.0,2105609597.0,2101754341.0
equity,607737879.0,605820317.0,635080166.0,620415849.0
financial_profit,-19972275.0,375518.0,-62256597.0,-54695755.0
gross_profit,68868846.0,74085567.0,166892025.0,127428863.0
net_income,12621769.0,8706843.0,29170212.0,2238652.0
other_profit,14333813.0,1037035.0,-1279442.0,-1237010.0
profit_before_tax,15218625.0,11051998.0,34518632.0,5006297.0
revenue,1264546647.0,1496329027.0,1459810715.0,1664861035.0
total_assets,2198031559.0,2276602195.0,2818059890.0,2743524933.0
total_debt,1590293680.0,1670781877.0,2182979724.0,2123109084.0
roa,0.005742305631745481,0.0038244902948448576,0.010351168228720646,0.0008159765464759492
roe,0.02076844217900066,0.014371989112408721,0.04593154307388652,0.00360830885221309
debt_ratio,0.7235081195665398,0.7338927638168249,0.7746392231571771,0.7738617784961825
current_ratio,1.2016993501970055,1.1428798560141307,1.1498620382665363,1.1539541152302537
gross_margin,0.054461293431431634,0.04951154837150666,0.11432442801325787,0.07654023988855022
net_profit_margin,0.009981260106097138,0.005818802444443925,0.019982187896188993,0.0013446479633659034
revenue_growth,0.0,0.18329286669643907,-0.02440526872169002,0.14046363538302975
