,2021,2022,2023,2024
cost_of_goods_sold,228986495.0,305774193.0,283834468.0,241070983.0
current_assets,310747127.0,347425730.0,371959692.0,421183333.0
current_liabilities,159497773.0,72956539.0,74321523.0,90593603.0
equity,310684788.0,440516507.0,443852254.0,474654906.0
financial_profit,-1904325.0,-253978.0,5207459.0,5915838.0
gross_profit,69175822.0,82173957.0,79547091.0,119730809.0
net_income,25686310.0,33553632.0,33129288.0,61074831.0
other_profit,3924376.0,2569196.0,2391043.0,2066728.0
profit_before_tax,32325946.0,43323182.0,43272071.0,76004628.0
revenue,298162316.0,387948150.0,363381559.0,360801792.0
total_assets,486755528.0,528421378.0,528854394.0,576968266.0
total_debt,176070739.0,87904871.0,85002140.0,102313361.0
roa,0.05277045359000011,0.0634978700653553,0.06264349578231924,0.10585474903744532
roe,0.0826764328094493,0.07616884150041624,0.07464035093083024,0.12867207360119437
debt_ratio,0.3617231420533554,0.16635373711167303,0.1607288148956932,0.17732926926695133
current_ratio,1.948285052230792,4.762091716000946,5.0047372145482,4.6491509229409935
gross_margin,0.23200726009922729,0.21181685490702817,0.21890789180086048,0.3318464920484652
net_profit_margin,0.08614874724812642,0.08648999099493064,0.09116942557891332,0.16927529838876187
revenue_growth,0.0,0.30113072370956506,-0.06332441848221215,-0.00709933384374084
