,2021,2022,2023,2024
cost_of_goods_sold,216461702.0,157450682.0,132871364.0,133064364.0
current_assets,207663131.0,153815230.0,178379173.0,153531071.0
current_liabilities,203299350.0,127412652.0,134520751.0,110945578.0
equity,124888996.0,142048719.0,149428739.0,154717722.0
financial_profit,1389066.0,6237542.0,4560332.0,9415912.0
gross_profit,95739916.0,93790573.0,68054385.0,52021322.0
net_income,20145823.0,19885723.0,14827664.0,11753627.0
other_profit,1176737.0,399200.0,117230.0,-373442.0
profit_before_tax,25191131.0,23602887.0,17715455.0,13031027.0
revenue,316338431.0,251241255.0,200933523.0,185085686.0
total_assets,328188346.0,269461371.0,283949490.0,265663300.0
total_debt,203299350.0,127412652.0,134520751.0,110945578.0
roa,0.061384943266693574,0.07379804729042219,0.05221937183264531,0.044242569447868786
roe,0.1613098322929908,0.13999227265118808,0.09922899770973775,0.07596820097958784
debt_ratio,0.6194593820220539,0.47284199411276656,0.47374887343520145,0.4176172546226746
current_ratio,1.0214648054703568,1.20722100659203,1.3260346204876599,1.3838412829756945
gross_margin,0.30265028405606526,0.3733088063104923,0.33869104559521407,0.28106615440807237
net_profit_margin,0.06368439944623737,0.07914991110834882,0.07379387858540658,0.06350370606185073
revenue_growth,0.0,-0.20578333082773614,-0.20023674853877005,-0.07887104532577172
