,2020,2021,2022,2023
current_assets,204717840.0,208073240.0,308147740.0,254131098.0
current_liabilities,21638500.0,22992340.0,12293050.0,11789935.0
equity,190877790.0,192302230.0,304950250.0,336013345.0
financial_profit,327950.0,-2187690.0,-1807940.0,7434336.0
net_income,-3495500.0,1424430.0,2648020.0,31063099.0
other_profit,-274090.0,244050.0,109160.0,7082.0
revenue,6328900.0,11644650.0,72012830.0,41389080.0
total_assets,212516300.0,215294560.0,317243300.0,403846811.0
total_debt,21638500.0,22992340.0,12293050.0,11789935.0
roa,-0.016448150094839784,0.006616191324109629,0.008346969029763592,0.07691802474082184
roe,-0.018312764413292923,0.007407246395426616,0.008683449185563874,0.09244602770166763
debt_ratio,0.10182042506857121,0.10679480243253708,0.03874959691820127,0.029194077256190096
current_ratio,9.460814751484623,9.04967654444915,25.06682556403822,21.554919344339048
net_profit_margin,-0.5523076679991784,0.12232484445646713,0.036771503077993185,0.7505143627256271
revenue_growth,0.0,0.8399168891908546,5.184198752216683,-0.4252540831960082
