,2021,2022,2023,2024
cost_of_goods_sold,728809763.0,857988795.0,1085062410.0,1032919401.0
current_assets,840191117.0,1359977234.0,1203632846.0,1146418830.0
current_liabilities,641895794.0,1211172668.0,1065064221.0,1026340919.0
equity,349111846.0,350679975.0,353629141.0,356842841.0
financial_profit,-13282705.0,-21371463.0,-41463864.0,-37757385.0
gross_profit,37089713.0,60456340.0,87349648.0,85168080.0
net_income,3668113.0,2764015.0,4661140.0,3213701.0
other_profit,61108.0,279853.0,10293065.0,3966656.0
profit_before_tax,6252632.0,4992469.0,11495253.0,8549582.0
revenue,765899476.0,918445134.0,1172412058.0,1118087481.0
total_assets,1016647203.0,1618169632.0,1452959489.0,1405099152.0
total_debt,667535357.0,1267489658.0,1099330349.0,1048256310.0
roa,0.003608049074620825,0.0017081120207303457,0.0032080316314999475,0.0022871702651201943
roe,0.010506985202673414,0.007881872924166828,0.013180870747300772,0.009005928186744819
debt_ratio,0.6566047248545865,0.7832860244901692,0.7566145906494713,0.74603725189637
current_ratio,1.3089213620863824,1.1228599108380803,1.1301035395498464,1.1169961255339953
gross_margin,0.04842634596605991,0.06582466144352178,0.07450422179127741,0.07617300206583746
net_profit_margin,0.0047892877785439296,0.0030094503173664806,0.00397568411907275,0.0028742840382451253
revenue_growth,0.0,0.1991719054263983,0.2765183401799154,-0.0463357371918125
