,2020,2021,2022,2023
cost_of_goods_sold,16638113672.0,11242175588.0,6528732604.0,3255769423.0
current_assets,8056921713.0,5275464011.0,2812320169.0,1620040970.0
current_liabilities,7918440799.0,5111112492.0,2614073440.0,1411741175.0
equity,363781335.0,398044680.0,418702436.0,423980494.0
financial_profit,-145407346.0,-124831616.0,14383870.0,8655453.0
gross_profit,1504377898.0,1069687394.0,544766135.0,288210183.0
net_income,37349639.0,20625507.0,35154236.0,31189486.0
other_profit,9156306.0,1703552.0,877120.0,-3041824.0
profit_before_tax,50489456.0,29878493.0,47409941.0,43605790.0
revenue,18167601212.0,12454210706.0,7133722585.0,3552262700.0
total_assets,8305837889.0,5527280533.0,3053521621.0,1855798199.0
total_debt,7942056554.0,5129235853.0,2634819185.0,1431817704.0
roa,0.004496793640707186,0.003731583167682146,0.011512686125499683,0.01680650731141269
roe,0.10267057544334977,0.05181706485814608,0.08395995097578081,0.07356349275823053
debt_ratio,0.9562017294508263,0.9279854392004315,0.8628788369728724,0.7715373927895487
current_ratio,1.0174884068107812,1.0321557232906233,1.0758382400304713,1.1475481474144862
gross_margin,0.08280553279683031,0.08588961751583842,0.07636491726570273,0.08113425366879538
net_profit_margin,0.0020558376730181608,0.00165610711805794,0.0049278950199042534,0.008780174394196691
revenue_growth,0.0,-0.31448238208939827,-0.4272039590944753,-0.5020464199898516
