,2020,2021,2022,2023
cost_of_goods_sold,1212061809.0,1904014782.0,1999788966.0,898587801.0
current_assets,1177932805.0,1563671556.0,2217780561.0,1968384072.0
current_liabilities,1089938895.0,2187576801.0,2203240805.0,2001216203.0
equity,993948186.0,1023787734.0,1034349642.0,1006585649.0
financial_profit,-22428771.0,-29025093.0,-97017412.0,-120581176.0
gross_profit,87605638.0,94997878.0,133075934.0,159102826.0
net_income,14446842.0,9478890.0,10079356.0,-28540035.0
other_profit,377862.0,-238477.0,-1893102.0,-1028530.0
profit_before_tax,12064387.0,12337822.0,18705317.0,-19725493.0
revenue,1299667447.0,1999012660.0,2132864900.0,1057690627.0
total_assets,2092973873.0,3483317004.0,4010619956.0,3754362025.0
total_debt,1099025688.0,2459529271.0,2976270314.0,2747776376.0
roa,0.0069025429253411425,0.0027212251968784635,0.002513166570400419,-0.0076018334965978675
roe,0.014534803929910287,0.009258647750120436,0.009744631399988438,-0.028353310052009296
debt_ratio,0.525102440206142,0.7060882682155104,0.742097318283029,0.7318890287358476
current_ratio,1.080732883653996,0.714796186943107,1.0065992586770378,0.9835939110672891
gross_margin,0.06740619548655973,0.047522399382903355,0.06239304421016071,0.15042472906399312
net_profit_margin,0.011115798917136377,0.004741785877434113,0.004725735793204717,-0.026983348695213502
revenue_growth,0.0,0.5380955063653294,0.06695917573628574,-0.5040986295006309
