,2021,2022,2023,2024
cost_of_goods_sold,970741511.0,1682669187.0,3005664031.0,5448985063.0
current_assets,1092054866.0,1198397078.0,1581022453.0,2098918084.0
current_liabilities,726956204.0,631249177.0,524269917.0,409545996.0
equity,1009110130.0,1528054126.0,1672142081.0,1988924446.0
financial_profit,47601994.0,-23840783.0,32293863.0,54531953.0
gross_profit,453110181.0,737756910.0,181808549.0,127137894.0
net_income,490303891.0,487942031.0,155371166.0,335255268.0
other_profit,150795130.0,74636061.0,119086655.0,393245461.0
profit_before_tax,505169154.0,605597018.0,200243037.0,417934859.0
revenue,1423851692.0,2420426097.0,3188690187.0,5576148117.0
total_assets,2746617755.0,2678096572.0,2715145833.0,2891191737.0
total_debt,1737507625.0,1150042445.0,1043003752.0,902267291.0
roa,0.1785118770558592,0.18219732480954015,0.05722387509046922,0.11595746615818445
roe,0.4858774839570781,0.3193224786331947,0.09291744270144948,0.16856108771464112
debt_ratio,0.6325989926472313,0.4294253078936393,0.38414281079243967,0.31207452603479824
current_ratio,1.502229240208809,1.8984532917656383,3.01566502622732,5.124987436087642
gross_margin,0.3182284949660333,0.30480455937672035,0.05701668658222644,0.022800307906526866
net_profit_margin,0.3443503939032437,0.20159344323909759,0.048725701428578454,0.06012309231490954
revenue_growth,0.0,0.6999144718507664,0.3174086128687117,0.7487268407992249
