,2019,2020,2022,2023
cost_of_goods_sold,3951832.0,4403814.0,175227.0,181792.0
current_assets,1206002625.0,1215882225.0,1114661930.0,1231429714.0
current_liabilities,314001730.0,323065892.0,242966685.0,359333018.0
equity,1261114103.0,1261553298.0,1259401993.0,1259804537.0
financial_profit,31607304.0,429457.0,1180809.0,169526.0
gross_profit,6678138.0,5047303.0,3473217.0,3729961.0
net_income,24958811.0,439196.0,16713513.0,402544.0
other_profit,2893630.0,854782.0,18217393.0,49231.0
profit_before_tax,31778883.0,940347.0,18844234.0,669961.0
revenue,0.0,0.0,3648444.0,3911753.0
total_assets,1675140233.0,1684643590.0,1602388677.0,1719157555.0
total_debt,414026130.0,423090292.0,342986685.0,459353018.0
roa,0.01489953527968306,0.00026070558936445423,0.010430373878634191,0.000234151895403211
roe,0.01979108071238499,0.0003481390764038889,0.013270991385512283,0.0003195289333999279
debt_ratio,0.24715908665062788,0.2511452834958402,0.21404712222638853,0.2671965793152682
current_ratio,3.840751530254308,3.763573484879054,4.587715101763849,3.426987369137339
gross_margin,0.0,0.0,0.9519721283922681,0.9535267180724345
net_profit_margin,0.0,0.0,4.580997543062193,0.10290629290755321
revenue_growth,0.0,0.0,0.0,0.07217021831772663
