,2020,2021,2022,2023
cost_of_goods_sold,937196004.0,1507891271.0,1534865880.0,999632880.0
current_assets,437488608.0,613969767.0,502318378.0,489830502.0
current_liabilities,241860913.0,413468174.0,312655513.0,259241823.0
equity,377205605.0,369524490.0,369150336.0,372081404.0
financial_profit,21398008.0,12703286.0,14866616.0,30125276.0
gross_profit,75950401.0,97630141.0,105707211.0,84027443.0
net_income,36956168.0,38467160.0,42574270.0,42753710.0
other_profit,267367.0,-1690350.0,6443062.0,13608867.0
profit_before_tax,42254087.0,48020977.0,53059092.0,54005874.0
revenue,1013146405.0,1605521412.0,1640573091.0,1083660324.0
total_assets,620415844.0,784379990.0,682693174.0,632841714.0
total_debt,243210239.0,414855500.0,313542839.0,260760310.0
roa,0.0595667701871263,0.04904148561974407,0.062362231850878296,0.06755829942019277
roe,0.09797353886085547,0.1040990814979543,0.11533043816598341,0.11490418370921864
debt_ratio,0.3920116504955022,0.5288960775248741,0.45927343489155786,0.41204665279065344
current_ratio,1.8088437795651586,1.484926302937164,1.606619289006428,1.889473296907035
gross_margin,0.0749648822965522,0.06080899343371697,0.06443310059143229,0.07754038893833304
net_profit_margin,0.036476631430183086,0.02395929429062015,0.02595085231713093,0.0394530546640185
revenue_growth,0.0,0.5846884557617318,0.021831959846823956,-0.3394623318248733
