,2021,2022,2023,2024
cost_of_goods_sold,93927535.0,123603206.0,96369174.0,128256862.0
current_assets,70867048.0,94947367.0,64189004.0,62522015.0
current_liabilities,54901628.0,74457290.0,43502217.0,36994191.0
equity,38477876.0,41525539.0,39269131.0,42486025.0
financial_profit,-1499480.0,-1404727.0,-2369330.0,-859969.0
gross_profit,2635160.0,10631068.0,5434267.0,10208130.0
net_income,-5949810.0,3047663.0,-2256409.0,3216895.0
other_profit,21976.0,105916.0,119316.0,15538.0
profit_before_tax,-5949810.0,3047663.0,-2256409.0,3332129.0
revenue,96562695.0,134234274.0,101803441.0,138464992.0
total_assets,93379505.0,115982829.0,83564716.0,79970856.0
total_debt,54901628.0,74457290.0,44295585.0,37484831.0
roa,-0.06371644398843193,0.026276846549414656,-0.027001934644282164,0.040225841774158326
roe,-0.154629377151691,0.07339249708474585,-0.05746012052061962,0.07571654444020122
debt_ratio,0.587940876319702,0.6419682175539967,0.5300752173919911,0.4687311462565813
current_ratio,1.2908004840949343,1.2751923552415083,1.4755340859984216,1.6900495269649227
gross_margin,0.027289627738745277,0.07919786566581348,0.053379993314764285,0.0737235445043033
net_profit_margin,-0.06161603091131622,0.022704059918408022,-0.022164368687694946,0.023232551084103627
revenue_growth,0.0,0.3901255966395718,-0.24159875144853094,0.3601209412950983
